0,How unhappy  some dogs like it though
0,talking to my over driver about where I'm goinghe said he'd love to go to New York too but since Trump it's probably not
0,Does anybody know if the Rand's likely to fall against the dollar? I got some money  I need to change into R but it keeps getting stronger unhappy 
0,I miss going to gigs in Liverpool unhappy 
0,There isnt a new Riverdale tonight ? unhappy 
0,it's that A*dy guy from pop Asia and then the translator so they'll probs go with them around Aus unhappy 
0,Who's that chair you're sitting in? Is this how I find out. Everyone knows now. You've shamed me in pu
0,don't like how jittery caffeine makes me sad 
0,My area's not on the list unhappy  think I'll go LibDems anyway
0,I want fun plans this weekend unhappy 
0,When can you notice me.  unhappy  what?  
0,Ahhhhh! You recognized LOGAN!!! Cinemax shows have a BAD track record for getting cancelled unhappy 
0,Errr dude.... They're gone unhappy  Asked other league memeber to check  the guys are go 
0,Not you again sad  
0,Why would Harvey be going to prison? unhappy 
0,Missing in crying  Seaside area. 
0,Becoz if we will depend on your promoting its waste of hardwork to all team who 
0,I thought you'll save me crying 
0,major waffle cravings right now sad 
0,cant speak japanese ::(
0,how can people do stuff like this unhappy  
0,please just stop confining animals in zoos unhappy  
0,Feel like i shoyould be telling you to get the fuck out social media byout also feel really mean because unhappy  silence  love yoyou hope yoyoure okay 
0,i miss you huhu so busy unhappy 
0,it was extended family. 12 ppl.ahh wanted to show a Oh My Girl being dorky while playing a game but it got deleted unhappy 
0,Don't do that unhappy 
0,Jamie can you please reset the CGa grandfinal server... no administrator are responding unhappy 
0,noOoooooo YOU GONNA MISS THE BUFFET unhappy  TAKE CARE AIN!!!!!!!!!!!!!!!!! 
0,I wish i could vote for you unhappy 
0,instant message so jealous okay unhappy  but never mind haha bruno can wait finals first
0,when i'm enlisting can please turn up like this unhappy  
0,unhappy  how come people like this have children where's the state intervention 
0,Ouchhhhh unhappy  
0,Help... I want to stop tweeting. All I feel is endless suffering and pain. I tried to deactivate myself many times... Save me... unhappy 
0,For those asking
0, the application is Kana Kanji Funtime! Sadly
0, it looks like iOS 11 is due to kill it unhappy  
0,Yeah did update to 16.04 
0, it froze a few times. Then went to 16.10
0, froze mid install. Waited 3hrs he'd to pull plug crying 
0,Shaandaar
0, Zabardast
0, Another ATBB on it's way ! I wish Srk Sir starts signing good movies unhappy  
0,I want Jabee crying 
0,sociopath full raid gear sad  
0,When will you say hi sunshine ? unhappy  
0,i feel bad for doing that AHAHA unhappy 
0,it's getting harder and harder to stay unhappy 
0,His face looks bloated unhappy  baby get well soon 
0,fuck. tried changing my settings but still in india. unhappy 
0,talking to my over driver about where I'm goinghe said he'd love to go to New York too but since Trump it's probably not
0,Let's not forget that it's also Gabriel Tenma White's birthday today!I miss unhappy  
0,Why am i always taken for granted eversince unhappy 
0,Ah alright
0, i don%27t know if you saw my comment yet
0, but what camera you shooting with
0, does it have flip out scr 
0,I miss Louis' tweets unhappy 
0,Koalas are dying of thirst  and it's all because of us unhappy  
0,okay I'll shut up now. instant message just mad that lots of people will now have a VERY flawed opinion on mental health ( on mine) because of this show unhappy 
0,pamura isa because in this very moment
0, i want to explode like a grenade to the point where people will die with me. sad 
0,YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways 
0,i really want one of those iconic jimin stripes turtleneck shirt unhappy 
0,I want a spoons but I cant go unhappy  honestly feels like a messy break up unhappy 
0,Makes me so sad unhappy  they looked so unhappy when I went to SeaWorld 
